Sample,Type,SeqID,Reads,Coverage,Path
1BF2780FDA,broodstock,1BF2780FDA_S843,184803,499.668,/home/maccamp/kootenai/data/align/1BF2780FDA_S843.sort.bam
1BF27811E0,broodstock,1BF27811E0_S844,157421,425.041,/home/maccamp/kootenai/data/align/1BF27811E0_S844.sort.bam
1BF2736562,broodstock,1BF2736562_S845,299131,811.961,/home/maccamp/kootenai/data/align/1BF2736562_S845.sort.bam
1BF2780435,broodstock,1BF2780435_S846,214065,580.355,/home/maccamp/kootenai/data/align/1BF2780435_S846.sort.bam
7F7D0F3E0A,broodstock,7F7D0F3E0A_S847,284414,770.655,/home/maccamp/kootenai/data/align/7F7D0F3E0A_S847.sort.bam
1BF272FBF1,broodstock,1BF272FBF1_S848,69576,182.395,/home/maccamp/kootenai/data/align/1BF272FBF1_S848.sort.bam
1BF2784EF2,broodstock,1BF2784EF2_S851,253088,687.681,/home/maccamp/kootenai/data/align/1BF2784EF2_S851.sort.bam
1BF27804B0,broodstock,1BF27804B0_S852,184144,497.443,/home/maccamp/kootenai/data/align/1BF27804B0_S852.sort.bam
1BF272E300,broodstock,1BF272E300_S853,243127,661.424,/home/maccamp/kootenai/data/align/1BF272E300_S853.sort.bam
1BF272E401,broodstock,1BF272E401_S854,175195,476.263,/home/maccamp/kootenai/data/align/1BF272E401_S854.sort.bam
473D0A156A,broodstock,473D0A156A_S855,388692,1065.96,/home/maccamp/kootenai/data/align/473D0A156A_S855.sort.bam
1BF27486C1,broodstock,1BF27486C1_S856,347477,942.29,/home/maccamp/kootenai/data/align/1BF27486C1_S856.sort.bam
1BF2780193,broodstock,1BF2780193_S859,170533,460.142,/home/maccamp/kootenai/data/align/1BF2780193_S859.sort.bam
1BF277FF3B,broodstock,1BF277FF3B_S860,391819,1059.71,/home/maccamp/kootenai/data/align/1BF277FF3B_S860.sort.bam
1BF272DD9C,broodstock,1BF272DD9C_S861,236913,642.404,/home/maccamp/kootenai/data/align/1BF272DD9C_S861.sort.bam
1BF272991F,broodstock,1BF272991F_S862,213632,580.069,/home/maccamp/kootenai/data/align/1BF272991F_S862.sort.bam
473D135E6D,broodstock,473D135E6D_S863,291231,793.917,/home/maccamp/kootenai/data/align/473D135E6D_S863.sort.bam
